extension,offset,magic_number
indd,0,0606EDF5D81D46E5BD31EFE7FE74B71D
mxf,0,060E2B34020501010D0102010102
skf,0,07534B46
dtd,0,0764743264647464
wallet,0,0A166F72672E626974636F696E2E7072
doc,0,0D444F43
nri,0,0E4E65726F49534F
wks,0,0E574B53
sib,0,0F534942454C495553
dsp,0,23204D6963726F736F667420446576656C6F7065722053747564696F
amr,0,2321414D52
sil,0,232153494C4B0A
hdr,0,233F52414449414E43450A
vbe,0,23407E5E
cdb,0,0DF01DC0
m3u,0,234558544D3355
m3u8,0,234558544D3355
m,0,6D646600
pak,0,4B504B41
arc,0,415243
arc,0,417243
cdx,0,417243
pl,0,D04F5053
nii,0,6E2B3100
hdr,0,6E693100
hl7,0,4D53487C4253487C
pwrdata,0,70777264617461
arc,0,1A08
asc,0,2D2D2D2D2D424547494E20504750205055424C4943204B454920424C4F434B2D2D2D2D2D
cnt,0,3A4261736520
e57,0,4153544D2D453537
sys,0,AAAAAAAA
ucas,0,8C0A00
utoc,0,2D3D3D2D2D3D3D2D2D3D3D2D2D3D3D2D
p00,0,43363446696C6500
(p01,0,43363446696C6500
p02,0,43363446696C6500
),0,43363446696C6500
journal,0,4C504B5348485248
hpapp,0,7C618AB2
hpprgm,0,7C618AB2
hpsettings,0,7C618AB2
czx,0,435A5058
pch,0,43504348
